(32, 32)
(64, 64)
('Consistency check, these numbers should be small:', (1.0865634669253823e-14+0j))
         125520 function calls (121510 primitive calls) in 2.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      602    0.001    0.000    0.001    0.000 sre_parse.py:91(__init__)
        1    0.001    0.001    0.001    0.001 patches.py:2758(ArrowStyle)
        1    0.001    0.001    0.001    0.001 threading.py:1(<module>)
       20    0.001    0.000    0.001    0.000 {eval}
       10    0.001    0.000    0.001    0.000 index_tricks.py:144(__getitem__)
      394    0.001    0.000    0.001    0.000 {method 'mro' of 'type' objects}
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.001    0.001    0.001    0.001 linecache.py:68(updatecache)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
      290    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       13    0.000    0.000    0.002    0.000 path.py:83(__init__)
     1548    0.000    0.000    0.000    0.000 glob.py:77(<lambda>)
       12    0.000    0.000    0.122    0.010 _import_tools.py:239(_execcmd)
      830    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 legend_handler.py:25(<module>)
      128    0.000    0.000    0.001    0.000 posixpath.py:89(split)
        1    0.000    0.000    0.000    0.000 tzwin.py:2(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1486(_pprint_table)
       74    0.000    0.000    0.103    0.001 glob.py:18(glob)
      105    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 axes.py:338(Axes)
     1223    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      183    0.000    0.000    0.000    0.000 {zip}
      138    0.000    0.000    0.002    0.000 cm.py:56(_generate_cmap)
      435    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 geo.py:1(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:134(_str2dict)
      852    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
       90    0.000    0.000    0.001    0.000 posixpath.py:127(dirname)
      151    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
       40    0.000    0.000    0.001    0.000 copy.py:306(_reconstruct)
       10    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       10    0.000    0.000    0.001    0.000 special_matrices.py:117(toeplitz)
      482    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       52    0.000    0.000    0.001    0.000 inspect.py:743(getargs)
     1480    0.000    0.000    0.000    0.000 {chr}
      138    0.000    0.000    0.000    0.000 colors.py:474(__init__)
      423    0.000    0.000    0.000    0.000 collections.py:323(<genexpr>)
      394    0.000    0.000    0.000    0.000 artist.py:895(aliased_name)
        1    0.000    0.000    0.000    0.000 urllib.py:116(URLopener)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      394    0.000    0.000    0.001    0.000 glob.py:94(has_magic)
        1    0.000    0.000    0.000    0.000 scale.py:96(LogScale)
  142/140    0.000    0.000    0.000    0.000 pyparsing.py:263(__init__)
       10    0.000    0.000    0.001    0.000 colors.py:692(from_list)
       69    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
      157    0.000    0.000    0.005    0.000 docstring.py:83(dedent)
        1    0.000    0.000    0.001    0.001 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:372(Misc)
      238    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
      305    0.000    0.000    0.000    0.000 {range}
       69    0.000    0.000    0.035    0.001 sre_compile.py:481(_code)
      169    0.000    0.000    0.000    0.000 pyparsing.py:1379(__getattr__)
        1    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
     1584    0.000    0.000    0.000    0.000 {callable}
        3    0.000    0.000    0.000    0.000 numeric.py:207(extend_all)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       26    0.000    0.000    0.000    0.000 artist.py:28(allow_rasterization)
        1    0.000    0.000    0.000    0.000 textwrap.py:243(_wrap_chunks)
      138    0.000    0.000    0.001    0.000 colors.py:621(__init__)
        1    0.000    0.000    0.047    0.047 patches.py:1615(BoxStyle)
      148    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 pyparsing.py:1444(__init__)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
     1188    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
       36    0.000    0.000    0.001    0.000 pyparsing.py:2542(__init__)
     1201    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
       26    0.000    0.000    0.000    0.000 nosetester.py:137(__init__)
        1    0.000    0.000    0.000    0.000 mathtext.py:562(TruetypeFonts)
        9    0.000    0.000    0.000    0.000 core.py:2430(__init__)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       50    0.000    0.000    0.000    0.000 colors.py:258(to_rgb)
      268    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
     30/2    0.000    0.000    0.004    0.002 pyparsing.py:2290(parseImpl)
       86    0.000    0.000    0.004    0.000 docstring.py:100(dedent_interpd)
    17/13    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 pyassem.py:254(PyFlowGraph)
        1    0.000    0.000    0.000    0.000 _cm.py:5(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       52    0.000    0.000    0.001    0.000 inspect.py:803(getargspec)
        1    0.000    0.000    0.001    0.001 numerictypes.py:302(_add_aliases)
        1    0.000    0.000    0.004    0.004 markers.py:5(<module>)
       41    0.000    0.000    0.002    0.000 copy.py:66(copy)
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
      138    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:2292(ConnectionStyle)
       38    0.000    0.000    0.024    0.001 {map}
       36    0.000    0.000    0.001    0.000 pyparsing.py:2279(__init__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       14    0.000    0.000    0.012    0.001 pyparsing.py:1705(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:702(_result)
      142    0.000    0.000    0.000    0.000 pyparsing.py:254(__new__)
       11    0.000    0.000    0.023    0.002 artist.py:1212(kwdoc)
     20/8    0.000    0.000    0.003    0.000 pyparsing.py:2411(parseImpl)
       30    0.000    0.000    0.000    0.000 {numpy.core.multiarray.concatenate}
      218    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 function_base.py:6(linspace)
    75/72    0.000    0.000    0.001    0.000 pyparsing.py:108(_ustr)
        1    0.000    0.000    0.000    0.000 tempfile.py:497(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:18(<module>)
       11    0.000    0.000    0.000    0.000 lapack.py:60(get_lapack_funcs)
       85    0.000    0.000    0.001    0.000 function_base.py:781(copy)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
      228    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 patches.py:744(Polygon)
        1    0.000    0.000    0.008    0.008 texmanager.py:34(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 defchararray.py:1732(chararray)
        9    0.000    0.000    0.006    0.001 pyparsing.py:1582(__init__)
        1    0.000    0.000    0.000    0.000 {parser.st2tuple}
        1    0.000    0.000    0.000    0.000 precision.py:6(<module>)
       92    0.000    0.000    0.000    0.000 sre_parse.py:226(_class_escape)
        1    0.000    0.000    0.000    0.000 path.py:3(<module>)
     20/2    0.000    0.000    0.000    0.000 pyparsing.py:2225(streamline)
        7    0.000    0.000    0.000    0.000 case.py:609(_deprecate)
       40    0.000    0.000    0.002    0.000 pyparsing.py:678(copy)
       98    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
        1    0.000    0.000    0.000    0.000 ticker.py:1502(AutoLocator)
       64    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
       69    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
        1    0.000    0.000    0.000    0.000 mathtext.py:2055(Parser)
       40    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
       32    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
      117    0.000    0.000    0.001    0.000 re.py:134(match)
        1    0.000    0.000    0.000    0.000 index_tricks.py:431(__init__)
        1    0.000    0.000    0.043    0.043 format.py:288(read_array_header_1_0)
        1    0.000    0.000    0.001    0.001 table.py:21(<module>)
       47    0.000    0.000    0.000    0.000 cbook.py:366(iterable)
        1    0.000    0.000    0.000    0.000 polar.py:20(PolarAxes)
       46    0.000    0.000    0.002    0.000 pyplot.py:1936(<lambda>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       52    0.000    0.000    0.000    0.000 __init__.py:655(__getitem__)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       27    0.000    0.000    0.000    0.000 core.py:821(__init__)
       12    0.000    0.000    0.001    0.000 pyparsing.py:2935(postParse)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       98    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
       72    0.000    0.000    0.000    0.000 pyparsing.py:873(preParse)
        1    0.000    0.000    0.296    0.296 _import_tools.py:128(__call__)
      239    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1633(parseImpl)
       15    0.000    0.000    0.000    0.000 pyparsing.py:1746(__str__)
       70    0.000    0.000    0.002    0.000 docstring.py:112(<lambda>)
     16/8    0.000    0.000    0.028    0.003 __init__.py:245(wrapper)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       14    0.000    0.000    0.000    0.000 rcsetup.py:36(__init__)
       36    0.000    0.000    0.001    0.000 pyparsing.py:1117(__add__)
        1    0.000    0.000    0.000    0.000 __init__.py:625(RcParams)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
     71/1    0.000    0.000    0.001    0.001 transformer.py:800(com_node)
       20    0.000    0.000    0.000    0.000 cbook.py:375(is_string_like)
       71    0.000    0.000    0.067    0.001 re.py:188(compile)
       11    0.000    0.000    0.000    0.000 function_base.py:527(asarray_chkfinite)
        1    0.000    0.000    0.000    0.000 xmlreader.py:91(IncrementalParser)
       23    0.000    0.000    0.001    0.000 core.py:5932(getdoc)
       36    0.000    0.000    0.000    0.000 pyparsing.py:403(__iadd__)
     56/2    0.000    0.000    0.003    0.002 pyparsing.py:2557(parseImpl)
     47/1    0.000    0.000    0.001    0.001 transformer.py:1077(com_binary)
       40    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
      196    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      106    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
  141/121    0.000    0.000    0.001    0.000 {issubclass}
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       55    0.000    0.000    0.001    0.000 {all}
       40    0.000    0.000    0.001    0.000 core.py:107(get_object_signature)
